"species","trt","doy","stm.length_cm","flowers_g","gr.leaves_g","dead.leaves_g","stm_g","crown_g","agb_g","main.roots_g","adv.roots_g","moment"
"D","ctrl",237,75.53,0,3.8652,0.07638,7.55904,0.67194,11.50062,1.48302,0,"post-recovery"
"D","ctrl",237,83.6441666666667,0,3.25908,0.04224,7.73388,0.49776,11.0352,1.46322,0,"post-recovery"
"D","ctrl",237,76.9708333333333,0,4.3845,0.00894,9.41946,0.70464,13.8129,1.77714,0,"post-recovery"
"D","ctrl",237,64.9891666666667,0,3.90582,0.11406,6.7533,0.63186,10.77318,1.68306,0,"post-recovery"
"D","ctrl",237,76.9708333333333,0,2.5257,0.06318,5.77638,0.5109,8.36526,1.03266,0,"post-recovery"
"D","ctrl",237,75.4541666666667,0,4.1907,0.0168,8.57238,0.72408,12.77988,1.94712,0,"post-recovery"
"D","ctrl",237,77.0466666666667,0,2.47356,0.06828,5.75184,0.3582,8.29368,0.95916,0,"post-recovery"
"D","ctrl",237,46.9408333333333,0,4.81674,0.03504,6.4371,0.84654,11.28888,2.68998,0,"post-recovery"
"D","ctrl",237,63.3208333333333,0,2.72712,0.13044,6.01368,0.46902,8.87124,1.36266,0,"post-recovery"
"D","ctrl",237,70.7525,0,3.20226,0.02388,5.79282,0.4476,9.01896,1.26282,0,"post-recovery"
"D","ctrl",237,57.785,0,2.72538,0.01302,4.55016,0.47772,7.28856,1.31784,0,"post-recovery"
"D","ctrl",237,74.62,0,2.00868,0.2055,5.6904,0.31176,7.90458,0.88596,0,"post-recovery"
"A","flood",237,81.3691666666667,NA,2.32524,0.84606,5.71446,0.8832,8.88576,0.56364,0.19674,"post-recovery"
"A","flood",237,76.3641666666667,NA,2.1108,0.48864,6.10494,0.7782,8.70438,0.5574,0.16476,"post-recovery"
"A","flood",237,81.2933333333333,NA,2.1066,0.3342,4.59336,0.53706,7.03416,0.49992,0.2565,"post-recovery"
"A","flood",237,97.6733333333333,NA,2.29422,0.31956,6.0606,0.76254,8.67438,0.73704,0.42438,"post-recovery"
"A","flood",237,101.2375,NA,2.64522,0.77688,7.05492,0.7866,10.47702,0.45258,0.4281,"post-recovery"
"A","flood",237,71.2075,NA,2.8647,0.70332,6.2028,0.98142,9.77082,0.61134,0.168,"post-recovery"
"A","flood",237,78.1841666666667,NA,2.7159,0.498,7.3509,1.07886,10.5648,1.01592,0.14544,"post-recovery"
"A","flood",237,70.98,NA,2.0952,0.10206,3.88986,0.78672,6.08712,0.69084,0.15858,"post-recovery"
"A","flood",237,71.3591666666667,NA,2.38824,0.27792,4.15344,0.53934,6.8196,0.59628,0.19974,"post-recovery"
"A","flood",237,58.4675,NA,3.52284,0.46812,5.59512,1.24014,9.58608,1.08174,0.14406,"post-recovery"
"A","flood",237,57.33,NA,1.3599,0.13824,2.40918,0.38898,3.90732,0.22932,0.09606,"post-recovery"
"A","flood",237,68.1741666666667,NA,3.13134,0.22584,5.37126,0.65406,8.72844,0.67872,0.13692,"post-recovery"
"C","flood",237,114.508333333333,0.3558,2.52492,0.52836,8.34198,0.40884,11.75106,1.68444,0,"post-recovery"
"C","flood",237,97.9008333333333,0.14922,3.19812,0.69402,8.87244,0.46818,12.9138,2.0733,0,"post-recovery"
"C","flood",237,61.0458333333333,0.04596,2.28258,0.36072,4.88958,0.42504,7.57884,1.98258,0,"post-recovery"
"C","flood",237,69.7666666666667,0.19644,1.80402,0.48852,5.15748,0.50892,7.64646,2.364,0,"post-recovery"
"C","flood",237,45.8538888868667,0.0773199996,2.4399200004,0.41352,4.49412,0.60744,7.42488,2.06148,0,"post-recovery"
"C","flood",237,83.6441666666667,0.9966,1.7574,0.43962,6.41394,0.45414,9.60756,1.47498,0,"post-recovery"
"C","flood",237,62.1833333333333,0.02694,2.08314,0.51798,5.27532,0.5469,7.90338,2.0883,0,"post-recovery"
"C","flood",237,57.1025,0.01914,2.60718,1.23402,7.15026,0.67842,11.0106,4.64292,0,"post-recovery"
"C","flood",237,87.815,0.07704,1.9038,0.40692,4.605,0.37476,6.99276,1.9428,0,"post-recovery"
"C","flood",237,50.3533333333333,0,2.03724,0.64854,5.62566,0.75474,8.31144,2.65932,0,"post-recovery"
"C","flood",237,63.6241666666667,0,2.5827,0.68058,6.3261,0.55296,9.58938,3.28404,0,"post-recovery"
"C","flood",237,50.7325,0.09768,1.06368,0.45048,3.12774,0.67422,4.73958,1.63938,0,"post-recovery"
"D","flood",237,70.2975,0,2.54082,0.04032,5.98548,0.4593,8.56662,1.24536,0.0459,"post-recovery"
"D","flood",237,61.3491666666667,0,2.6673,0.03294,4.8933,0.51276,7.59354,1.00044,0.02952,"post-recovery"
"D","flood",237,67.34,0,3.05064,0.0462,6.93444,0.6102,10.03128,1.2663,0.0639,"post-recovery"
"D","flood",237,68.705,0,2.28834,0.03378,4.87164,0.40926,7.19376,0.97458,0.01536,"post-recovery"
"D","flood",237,54.6758333333333,0,4.75656,0.02016,7.36392,1.08954,12.14064,2.0886,0.1128,"post-recovery"
"D","flood",237,61.1975,0,3.59838,0.02172,5.6982,0.51642,9.3183,1.18878,0.072,"post-recovery"
"D","flood",237,49.8983333333333,0,1.98024,0.09882,3.54894,0.40932,5.628,0.86094,0,"post-recovery"
"D","flood",237,63.0175,0,2.56164,0.10686,5.03862,0.51636,7.70712,0.9309,0.06306,"post-recovery"
"D","flood",237,69.8425,0,3.279,0.08784,7.4646,0.57168,10.83144,1.68366,0.05868,"post-recovery"
"D","flood",237,67.4916666666667,0,3.24384,0.03456,7.01016,0.5349,10.28856,1.46676,0.09186,"post-recovery"
"D","flood",237,57.1783333333333,0,3.20364,0.04836,5.2194,0.507,8.4714,1.40322,0.03942,"post-recovery"
"D","flood",237,66.0508333333333,0,2.70684,0.02886,7.0563,0.50352,9.792,1.13316,0.0669,"post-recovery"
