Year,State,Site,Site_Prod,Sam_Time,Plot_ID,Block,N_Trt,Plant_N,Side_N,Plant_N_SI,Side_N_SI,Nitrate1,Nitrate2,Nitrate3,Ammonium1,Comment
2014,IA,Ames,Low,PSNT,411,4,8,280,0,315,0,53.5,9,.,.,.
2014,IA,Ames,Low,PSNT,412,4,1,0,0,0,0,7.5,3.5,.,5,.
2014,IA,Ames,Low,PSNT,414,4,3,80,0,90,0,20,5,.,4.9,.
2014,IA,Ames,Low,PSNT,415,4,6,200,0,225,0,39,8,.,.,.
2014,IA,MasonCity,High,Post,101,1,2,40,0,45,0,3,2,1,.,.
2014,IA,MasonCity,High,Post,102,1,3,80,0,90,0,4,2,0.5,.,.
2014,IA,MasonCity,High,Post,103,1,9,40,40,45,45,6.5,5.5,1,.,.
2014,IA,MasonCity,High,Post,104,1,14,40,240,45,270,82,33,15.5,.,.
2014,IA,MasonCity,High,Post,105,1,16,80,160,90,180,41,16,6,.,.
2014,IA,MasonCity,High,Post,106,1,13,40,200,45,225,58,36,12.5,.,.
2014,IA,MasonCity,High,Post,107,1,10,40,80,45,90,23,10,2.5,.,.
2014,IA,MasonCity,High,Post,108,1,5,160,0,180,0,5.5,3,1.5,.,.
2014,IA,MasonCity,High,Post,109,1,1,0,0,0,0,5,1,0.5,.,.
2014,IA,MasonCity,High,Post,110,1,4,120,0,135,0,4,2,0.5,.,.
2014,IA,MasonCity,High,Post,111,1,12,40,160,45,180,37.5,20.5,3.5,.,.
2014,IA,MasonCity,High,Post,112,1,11,40,120,45,135,43,19,5,.,.
2014,IA,MasonCity,High,Post,113,1,15,80,80,90,90,12.5,8.5,1.5,.,.
2014,IA,MasonCity,High,Post,114,1,6,200,0,225,0,7,3.5,4,.,.
2014,IA,MasonCity,High,Post,115,1,7,240,0,270,0,7.5,9.5,10.5,.,.
2014,IA,MasonCity,High,Post,116,1,8,280,0,315,0,9,12.5,20.5,.,.
2014,IA,MasonCity,High,Post,201,2,5,160,0,180,0,5,3.5,1.5,.,.
2014,IA,MasonCity,High,Post,202,2,16,80,160,90,180,70,31,4.5,.,.
2014,IA,MasonCity,High,Post,203,2,7,240,0,270,0,8,8.5,12,.,.
2014,IA,MasonCity,High,Post,204,2,11,40,120,45,135,38.5,16.5,4.5,.,.
2014,IA,MasonCity,High,Post,205,2,1,0,0,0,0,4.5,3,1,.,.
2014,IA,MasonCity,High,Post,206,2,12,40,160,45,180,28,19.5,5,.,.
2014,IA,MasonCity,High,Post,207,2,9,40,40,45,45,8,6,2,.,.
2014,IA,MasonCity,High,Post,208,2,3,80,0,90,0,6.5,1.5,0.5,.,.
2014,IA,MasonCity,High,Post,209,2,4,120,0,135,0,6,3.5,1,.,.
2014,IA,MasonCity,High,Post,210,2,10,40,80,45,90,23.5,7.5,1.5,.,.
2014,IA,MasonCity,High,Post,211,2,15,80,80,90,90,27,13.5,3,.,.
2014,IA,MasonCity,High,Post,212,2,8,280,0,315,0,11,15.5,26,.,.
2014,IA,MasonCity,High,Post,213,2,2,40,0,45,0,4.5,2,0.5,.,.
2014,IA,MasonCity,High,Post,214,2,13,40,200,45,225,32.5,22,4.5,.,.
2014,IA,MasonCity,High,Post,215,2,6,200,0,225,0,6.5,6,10,.,.
2014,IA,MasonCity,High,Post,216,2,14,40,240,45,270,122,56,8.5,.,.
2014,IA,MasonCity,High,Post,301,3,1,0,0,0,0,5.5,2,0.5,.,.
2014,IA,MasonCity,High,Post,302,3,9,40,40,45,45,8.5,6,1.5,.,.
2014,IA,MasonCity,High,Post,303,3,12,40,160,45,180,47.5,19.5,3,.,.
2014,IA,MasonCity,High,Post,304,3,14,40,240,45,270,94,38,5,.,.
2014,IA,MasonCity,High,Post,305,3,6,200,0,225,0,7.5,2.5,2,.,.
2014,IA,MasonCity,High,Post,306,3,13,40,200,45,225,56,25,3,.,.
2014,IA,MasonCity,High,Post,307,3,3,80,0,90,0,4.5,1.5,0.5,.,.
2014,IA,MasonCity,High,Post,308,3,16,80,160,90,180,21,8.5,3,.,.
2014,IA,MasonCity,High,Post,309,3,11,40,120,45,135,15.5,12.5,2,.,.
2014,IA,MasonCity,High,Post,310,3,5,160,0,180,0,5.5,2.5,2,.,.
2014,IA,MasonCity,High,Post,311,3,7,240,0,270,0,9,6.5,10,.,.
2014,IA,MasonCity,High,Post,312,3,4,120,0,135,0,4.5,2.5,0.5,.,.
2014,IA,MasonCity,High,Post,313,3,15,80,80,90,90,7,2.5,1,.,.
2014,IA,MasonCity,High,Post,314,3,10,40,80,45,90,10.5,11,1,.,.
2014,IA,MasonCity,High,Post,315,3,8,280,0,315,0,10.5,8.5,9.5,.,.
2014,IA,MasonCity,High,Post,316,3,2,40,0,45,0,5.5,1.5,0.5,.,.
2014,IA,MasonCity,High,Post,401,4,4,120,0,135,0,6.5,3,1.5,.,.
2014,IA,MasonCity,High,Post,402,4,16,80,160,90,180,63.5,45,15,.,.
2014,IA,MasonCity,High,Post,403,4,9,40,40,45,45,9.5,7.5,2,.,.
2014,IA,MasonCity,High,Post,404,4,15,80,80,90,90,11,12,7.5,.,.
2014,IA,MasonCity,High,Post,405,4,7,240,0,270,0,7.5,2,5,.,.
2014,IA,MasonCity,High,Post,406,4,10,40,80,45,90,32,20.5,7,.,.
2014,IA,MasonCity,High,Post,407,4,5,160,0,180,0,4,2.5,3.5,.,.
2014,IA,MasonCity,High,Post,408,4,12,40,160,45,180,52,23.5,6,.,.
2014,IA,MasonCity,High,Post,409,4,13,40,200,45,225,46,26.5,6.5,.,.
2014,IA,MasonCity,High,Post,410,4,2,40,0,45,0,6,2,1.5,.,.
2014,IA,MasonCity,High,Post,411,4,8,280,0,315,0,10,19,27.5,.,.
2014,IA,MasonCity,High,Post,412,4,1,0,0,0,0,6,2,0.5,.,.
2014,IA,MasonCity,High,Post,413,4,11,40,120,45,135,14,14,2.5,.,.
2014,IA,MasonCity,High,Post,414,4,3,80,0,90,0,3.5,2.5,0.5,.,.
2014,IA,MasonCity,High,Post,415,4,6,200,0,225,0,5.5,4.5,4.5,.,.
2014,IA,MasonCity,High,Post,416,4,14,40,240,45,270,78,35.5,9.5,.,.
2014,IA,MasonCity,High,PPNT,.,1,.,.,.,.,.,4,3.5,3.5,.,.
2014,IA,MasonCity,High,PPNT,.,2,.,.,.,.,.,4,3.5,3.5,7.7,.
2014,IA,MasonCity,High,PPNT,.,3,.,.,.,.,.,5,3.5,3.5,7.4,.
2014,IA,MasonCity,High,PPNT,.,4,.,.,.,.,.,4,3,2.5,5.5,.
2014,IA,MasonCity,High,PSNT,101,1,2,40,0,45,0,21.5,3,.,.,.
2014,IA,MasonCity,High,PSNT,102,1,3,80,0,90,0,31,4.5,.,9.7,.
2014,IA,MasonCity,High,PSNT,108,1,5,160,0,180,0,44,6.5,.,15.4,.
2014,IA,MasonCity,High,PSNT,109,1,1,0,0,0,0,8,2.5,.,7.2,.
2014,IA,MasonCity,High,PSNT,110,1,4,120,0,135,0,26.5,7.5,.,.,.
2014,IA,MasonCity,High,PSNT,114,1,6,200,0,225,0,30.5,5.5,.,.,.
2014,IA,MasonCity,High,PSNT,115,1,7,240,0,270,0,44,9,.,20.2,.
2014,IA,MasonCity,High,PSNT,116,1,8,280,0,315,0,57.5,12,.,.,.
2014,IA,MasonCity,High,PSNT,201,2,5,160,0,180,0,52.5,6,.,23.8,.
2014,IA,MasonCity,High,PSNT,203,2,7,240,0,270,0,57.5,9.5,.,24.3,.
